Date,Home,Away,Home_Score,Away_Score,Final_Score,Link,first_goal_min
,Reims,Lille,0,2,0-2,https://ca.soccerway.com/matches/2024/08/17/france/ligue-1/reims/lille/4372751/,75
,Monaco,Saint-Étienne,1,0,1-0,https://ca.soccerway.com/matches/2024/08/17/france/ligue-1/monaco/saint-tienne/4372750/,28
,Auxerre,Nice,2,1,2-1,https://ca.soccerway.com/matches/2024/08/18/france/ligue-1/auxerre/nice/4372752/,44
,Angers,Lens,0,1,0-1,https://ca.soccerway.com/matches/2024/08/18/france/ligue-1/angers/lens/4372749/,28
,Toulouse,Nantes,0,0,0-0,https://ca.soccerway.com/matches/2024/08/18/france/ligue-1/toulouse/nantes/4372748/,
,Montpellier,Strasbourg,1,1,1-1,https://ca.soccerway.com/matches/2024/08/18/france/ligue-1/montpellier/strasbourg/4372747/,67
,Rennes,Lyon,3,0,3-0,https://ca.soccerway.com/matches/2024/08/18/france/ligue-1/rennes/lyon/4372754/,19
,Lyon,Monaco,0,2,0-2,https://ca.soccerway.com/matches/2024/08/24/france/ligue-1/lyon/monaco/4372762/,65
,Lille,Angers,2,0,2-0,https://ca.soccerway.com/matches/2024/08/24/france/ligue-1/lille/angers/4372759/,34
,Saint-Étienne,Le Havre,0,2,0-2,https://ca.soccerway.com/matches/2024/08/24/france/ligue-1/saint-tienne/le-havre/4372758/,57
,Lens,Brest,2,0,2-0,https://ca.soccerway.com/matches/2024/08/25/france/ligue-1/lens/brest/4372761/,19
,Nice,Toulouse,1,1,1-1,https://ca.soccerway.com/matches/2024/08/25/france/ligue-1/nice/toulouse/4372760/,53
,Nantes,Auxerre,2,0,2-0,https://ca.soccerway.com/matches/2024/08/25/france/ligue-1/nantes/auxerre/4372757/,14
,Monaco,Lens,1,1,1-1,https://ca.soccerway.com/matches/2024/09/01/france/ligue-1/monaco/lens/4372769/,84
,Reims,Rennes,2,1,2-1,https://ca.soccerway.com/matches/2024/09/01/france/ligue-1/reims/rennes/4372771/,41
,Saint-Étienne,Lille,1,0,1-0,https://ca.soccerway.com/matches/2024/09/13/france/ligue-1/saint-tienne/lille/4372779/,6
,Marseille,Nice,2,0,2-0,https://ca.soccerway.com/matches/2024/09/14/france/ligue-1/marseille/nice/4372780/,40
,Auxerre,Monaco,0,3,0-3,https://ca.soccerway.com/matches/2024/09/14/france/ligue-1/auxerre/monaco/4372773/,8
,Rennes,Montpellier,3,0,3-0,https://ca.soccerway.com/matches/2024/09/15/france/ligue-1/rennes/montpellier/4372774/,24
,Nantes,Reims,1,2,1-2,https://ca.soccerway.com/matches/2024/09/15/france/ligue-1/nantes/reims/4372776/,28
,Strasbourg,Angers,1,1,1-1,https://ca.soccerway.com/matches/2024/09/15/france/ligue-1/strasbourg/angers/4372778/,31
,Toulouse,Le Havre,2,0,2-0,https://ca.soccerway.com/matches/2024/09/15/france/ligue-1/toulouse/le-havre/4372777/,70
,Rennes,Lens,1,1,1-1,https://ca.soccerway.com/matches/2024/09/21/france/ligue-1/rennes/lens/4372789/,24
,Reims,PSG,1,1,1-1,https://ca.soccerway.com/matches/2024/09/21/france/ligue-1/reims/psg/4372784/,9
